productId,productAr,productEn,brandAr,categoryId,categoryAr,published,scope,variantId,variantAr,role,fileName,repoPath,url,requirement,purposeAr,altAr,aspect,minPx,preferredPx,maxKb,uploadState
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","main","01-main.webp","web/public/assets/store/betafpv-cetus-pro/rtf/01-main.webp","/assets/store/betafpv-cetus-pro/rtf/01-main.webp","إلزامية","الصورة الرئيسية: المنتج كاملاً على خلفية بيضاء أو فاتحة، بلا قصّ لأي طرف. هذه التي تظهر في بطاقة المتجر.","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","front","02-front.webp","web/public/assets/store/betafpv-cetus-pro/rtf/02-front.webp","/assets/store/betafpv-cetus-pro/rtf/02-front.webp","اختيارية","من الأمام مباشرة: تُظهر الكاميرا والهوائيات وترتيب المراوح.","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة، من الأمام","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","side","03-side.webp","web/public/assets/store/betafpv-cetus-pro/rtf/03-side.webp","/assets/store/betafpv-cetus-pro/rtf/03-side.webp","اختيارية","من الجانب: تُظهر الارتفاع وترتيب الطبقات والمنافذ.","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة، من الجانب","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","top","05-top.webp","web/public/assets/store/betafpv-cetus-pro/rtf/05-top.webp","/assets/store/betafpv-cetus-pro/rtf/05-top.webp","اختيارية","من الأعلى: تُظهر التخطيط العام وأماكن التثبيت.","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة، من الأعلى","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","box","06-box.webp","web/public/assets/store/betafpv-cetus-pro/rtf/06-box.webp","/assets/store/betafpv-cetus-pro/rtf/06-box.webp","اختيارية","محتويات الصندوق كما تصل فعلاً — لا صورة دعائية.","محتويات صندوق طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","main","01-main.webp","web/public/assets/store/betafpv-cetus-pro/bnf/01-main.webp","/assets/store/betafpv-cetus-pro/bnf/01-main.webp","إلزامية","الصورة الرئيسية: المنتج كاملاً على خلفية بيضاء أو فاتحة، بلا قصّ لأي طرف. هذه التي تظهر في بطاقة المتجر.","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","front","02-front.webp","web/public/assets/store/betafpv-cetus-pro/bnf/02-front.webp","/assets/store/betafpv-cetus-pro/bnf/02-front.webp","اختيارية","من الأمام مباشرة: تُظهر الكاميرا والهوائيات وترتيب المراوح.","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة، من الأمام","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","side","03-side.webp","web/public/assets/store/betafpv-cetus-pro/bnf/03-side.webp","/assets/store/betafpv-cetus-pro/bnf/03-side.webp","اختيارية","من الجانب: تُظهر الارتفاع وترتيب الطبقات والمنافذ.","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة، من الجانب","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","top","05-top.webp","web/public/assets/store/betafpv-cetus-pro/bnf/05-top.webp","/assets/store/betafpv-cetus-pro/bnf/05-top.webp","اختيارية","من الأعلى: تُظهر التخطيط العام وأماكن التثبيت.","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة، من الأعلى","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
"betafpv-cetus-pro","طقم تدريب كامل للمبتدئ","BetaFPV Cetus Pro Kit","BetaFPV","tiny-whoop","تايني ووب","مسودة","صورة لكل خيار","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","box","06-box.webp","web/public/assets/store/betafpv-cetus-pro/bnf/06-box.webp","/assets/store/betafpv-cetus-pro/bnf/06-box.webp","اختيارية","محتويات الصندوق كما تصل فعلاً — لا صورة دعائية.","محتويات صندوق طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة","1:1","1000×1000","1600×1600","400KB","expected but not uploaded"
